report_date,ndx_wdi,ndx_wdi_raw,correction_points,correction_method,correction_ratio_median,coverage_ratio,qqq_equity_count,spgm_equity_count,matched_count,estimated_count,excluded_qqq_count,excluded_non_comparable_count,qqq_matched_weight,spgm_matched_weight,rebalance_type,qqq_accession,spgm_accession,qqq_filed_date,spgm_filed_date
2019-09-30,15.013414501,14.6990233116,0.314391189366,median_observed_overweight_ratio,1.41110702654,0.851159918896,103,433,53,49,50,1,0.848988972287,0.171355053061,quarterly_rebalance,0001752724-19-184787,0001752724-19-166378,2019-11-29,2019-11-18
2019-12-31,14.3882977804,12.3979249528,1.99037282756,median_observed_overweight_ratio,1.53702540513,0.840304506384,103,415,53,49,50,1,0.838026955802,0.176477638578,annual_reconstitution,0001752724-20-043463,0001752724-20-042730,2020-02-28,2020-02-28
2020-03-31,14.5518007069,11.9439345854,2.60786612146,median_observed_overweight_ratio,1.54215881425,0.851197203004,103,446,53,49,50,1,0.848746317414,0.200835957252,quarterly_rebalance,0001752724-20-112621,0001752724-20-111697,2020-06-01,2020-06-01
2020-06-30,15.3337483774,12.2661240847,3.0676242927,median_observed_overweight_ratio,1.67221482944,0.851035802508,103,517,55,47,48,1,0.848385735673,0.222985176218,quarterly_rebalance,0001752724-20-174500,0001752724-20-177382,2020-08-26,2020-08-27
2020-09-30,15.3900933933,12.9940944856,2.39599890772,median_observed_overweight_ratio,1.60633262158,0.862963039442,103,513,56,46,47,1,0.860665500754,0.23070403833,quarterly_rebalance,0001752724-20-251748,0001752724-20-236146,2020-11-30,2020-11-19
2020-12-31,16.1585676482,12.8169897856,3.34157786258,median_observed_overweight_ratio,1.63378423957,0.843268644333,102,523,56,45,46,1,0.840693930735,0.217728435395,annual_reconstitution,0001752724-21-043706,0001752724-21-043797,2021-02-26,2021-02-26
2021-03-31,14.6378597564,12.1059405104,2.53191924597,median_observed_overweight_ratio,1.45650311481,0.846394872898,102,530,56,45,46,1,0.843029135371,0.207643224588,quarterly_rebalance,0001752724-21-113764,0001752724-21-118968,2021-05-27,2021-05-28
2021-06-30,14.9991209352,12.1895911618,2.80952977343,median_observed_overweight_ratio,1.52479830297,0.849388779641,102,588,56,45,46,1,0.845842429109,0.219457871562,quarterly_rebalance,0001752724-21-190995,0001752724-21-189807,2021-08-27,2021-08-27
2021-09-30,15.0515176151,12.4285143568,2.62300325832,median_observed_overweight_ratio,1.52029373702,0.852697908287,102,601,57,44,45,1,0.848873600265,0.228161424662,quarterly_rebalance,0001752724-21-250330,0001752724-21-258698,2021-11-23,2021-11-26
2021-12-31,15.5032667828,12.5698357573,2.93343102556,median_observed_overweight_ratio,1.57793691955,0.848729031002,101,771,58,42,43,1,0.845095444566,0.241650335816,annual_reconstitution,0001752724-22-046874,0001752724-22-048780,2022-02-25,2022-02-25
